CATAID,Z,nQ,Z_TONRY,logmstar,dellogmstar,logage,dellogage,metal,delmetal,gminusi,delgminusi,CATAID.1,X,Y,Z.1,d,GroupID,BranchID,FilID,CATAID.2,X.1,Y.1,Z.2,TendrilID
543544,0.14681,4,0.147821,10.3374,0.11184,9.8043,0.197707,0.0140662,0.00930092,0.981078,0.0511498,543544.0,41.7907714777598,428.320646458866,-6.61337096123434,1.49388,307156.0,1501480001.0,150148.0,,,,,
543545,0.15983,5,0.160853,11.0433,0.113134,9.78766,0.198289,0.012702,0.00878662,1.03204,0.0459913,543545.0,45.3403221454053,464.813221270588,-7.74559666326099,1.44067,300489.0,1500660001.0,150066.0,,,,,
543548,0.16064,4,0.161664,10.2059,0.126999,9.5519,0.277908,0.0153766,0.00786986,0.573302,0.0393872,543548.0,45.4827869587406,467.081596332696,-7.95149073512921,1.00544,300489.0,1500660001.0,150066.0,,,,,
543551,0.20733,4,0.208394,10.1538,0.120735,9.6465,0.256008,0.0116772,0.00785129,0.619224,0.0466256,543551.0,57.8780301409605,596.203798538787,-10.3015341428974,1.47789,0.0,1500680001.0,150068.0,,,,,
543565,0.16104,4,0.162064,10.1966,0.104782,9.81471,0.183427,0.0106821,0.0074925,0.936837,0.0510735,543565.0,45.4710486546478,468.206412234279,-8.19403898339354,2.1315,0.0,1500660001.0,150066.0,,,,,
543598,0.08305,5,0.0840016,9.90391,0.15887,9.50745,0.394757,0.014303,0.015959,0.600394,0.0605117,543598.0,23.077906244641,246.663817546112,-3.98138130123281,1.90008,0.0,1502310001.0,150231.0,,,,,
543638,0.08317,5,0.0841207,10.7075,0.112025,9.81608,0.205626,0.00930606,0.00841,1.11078,0.0419574,543638.0,22.8890235281821,247.029924749803,-3.89240883831983,1.70883,302722.0,1502310001.0,150231.0,,,,,
543639,0.17561,4,0.176642,10.3258,0.120098,9.59184,0.265812,0.00689337,0.00577971,0.543078,0.0397384,543639.0,47.105631609987,509.006267930708,-7.70002348855632,0.668775,307164.0,1500650002.0,150065.0,,,,,
543643,0.11526,5,0.116238,10.3619,0.121273,9.736,0.240199,0.00944581,0.00695745,0.808709,0.0409937,543643.0,30.9740347799428,339.191572033867,-5.18611342881616,3.36435,0.0,1500600002.0,150060.0,,,,,
543644,0.11304,4,0.114016,10.036,0.116835,9.75819,0.219621,0.00635043,0.00591132,0.658932,0.0463617,543644.0,30.3744435865605,332.859463188523,-5.08891869061844,1.26263,307165.0,1500600001.0,150060.0,,,,,
